ST,ET,jobID,taskID,mean cpu usage,canonical memory usage,disk io,disk space
17700000000,18000000000,3727144341,8,0.03418,0.003677,1.431e-05,0.0
18000000000,18300000000,3727144341,8,0.03638,0.0036200000000000004,1.144e-05,0.0
18300000000,18600000000,3727144341,8,0.03418,0.003761,2.289e-05,0.0
18600000000,18900000000,3727144341,8,0.03247,0.0036130000000000003,2.384e-05,0.0
18900000000,19200000000,3727144341,8,0.02963,0.0034939999999999997,1.431e-05,0.0
19200000000,19500000000,3727144341,8,0.029269999999999997,0.003368,2.766e-05,0.0
19500000000,19800000000,3727144341,8,0.02847,0.003288,2.289e-05,0.0
19800000000,20100000000,3727144341,8,0.0285,0.0032229999999999997,1.907e-05,0.0
20100000000,20400000000,3727144341,8,0.02997,0.003254,1.335e-05,0.0
20400000000,20700000000,3727144341,8,0.027589999999999996,0.003258,1.24e-05,0.0
20700000000,21000000000,3727144341,8,0.02957,0.003616,1.24e-05,0.0
21000000000,21300000000,3727144341,8,0.02707,0.0038299999999999996,2.193e-05,0.0
21300000000,21600000000,3727144341,8,0.02625,0.003357,2.098e-05,0.0
21600000000,21900000000,3727144341,8,0.02597,0.0032310000000000004,3.91e-05,0.0
21900000000,22200000000,3727144341,8,0.02597,0.0033840000000000003,6.676e-06,0.0
22200000000,22500000000,3727144341,8,0.02185,0.0032770000000000004,2.003e-05,0.0
22500000000,22800000000,3727144341,8,0.023190000000000002,0.003414,1.144e-05,0.0
22800000000,23100000000,3727144341,8,0.02139,0.003304,2.384e-05,0.0
23100000000,23400000000,3727144341,8,0.020569999999999998,0.0033799999999999998,2.289e-05,0.0
23400000000,23700000000,3727144341,8,0.016909999999999998,0.0030210000000000002,1.812e-05,0.0
23700000000,24000000000,3727144341,8,0.01935,0.002968,1.812e-05,0.0
24000000000,24300000000,3727144341,8,0.0166,0.002975,2.575e-05,0.0
24300000000,24600000000,3727144341,8,0.01624,0.002895,1.144e-05,0.0
24600000000,24900000000,3727144341,8,0.01636,0.002941,2.098e-05,0.0
24900000000,25200000000,3727144341,8,0.01511,0.002934,1.144e-05,0.0
25200000000,25500000000,3727144341,8,0.01395,0.002872,1.907e-05,0.0
25500000000,25800000000,3727144341,8,0.01218,0.0028190000000000003,2.003e-05,0.0
25800000000,26100000000,3727144341,8,0.015090000000000001,0.0028989999999999997,2.956e-05,0.0
26100000000,26400000000,3727144341,8,0.014369999999999999,0.002895,1.717e-05,0.0
26400000000,26700000000,3727144341,8,0.01486,0.003017,1.526e-05,0.0
26700000000,27000000000,3727144341,8,0.01289,0.002884,2.289e-05,0.0
27000000000,27300000000,3727144341,8,0.0121,0.002872,1.431e-05,0.0
27300000000,27600000000,3727144341,8,0.01151,0.002903,1.431e-05,0.0
27600000000,27900000000,3727144341,8,0.0123,0.0028420000000000003,2.289e-05,0.0
27900000000,28200000000,3727144341,8,0.01149,0.0028190000000000003,1.144e-05,0.0
28200000000,28500000000,3727144341,8,0.01125,0.0028,1.621e-05,0.0
28500000000,28800000000,3727144341,8,0.010209999999999999,0.002785,1.431e-05,0.0
28800000000,29100000000,3727144341,8,0.01022,0.0027660000000000002,2.289e-05,0.0
29100000000,29400000000,3727144341,8,0.010329999999999999,0.0028,2.003e-05,0.0
29400000000,29700000000,3727144341,8,0.01144,0.0028079999999999997,2.861e-05,0.0
29700000000,30000000000,3727144341,8,0.01025,0.002796,2.384e-05,0.0
30000000000,30300000000,3727144341,8,0.01163,0.0028420000000000003,1.526e-05,0.0
30300000000,30600000000,3727144341,8,0.009476,0.0028190000000000003,2.48e-05,0.0
30600000000,30900000000,3727144341,8,0.01027,0.0028309999999999997,2.289e-05,0.0
30900000000,31200000000,3727144341,8,0.008728,0.002872,3.052e-05,0.0
31200000000,31500000000,3727144341,8,0.009903,0.002964,1.431e-05,0.0
31500000000,31800000000,3727144341,8,0.008743,0.002949,8.582999999999999e-06,0.0
31800000000,32100000000,3727144341,8,0.009826999999999999,0.0029530000000000003,3.338e-05,0.0
32100000000,32400000000,3727144341,8,0.00914,0.002926,1.526e-05,0.0
32400000000,32700000000,3727144341,8,0.01093,0.0029530000000000003,2.003e-05,0.0
32700000000,33000000000,3727144341,8,0.0123,0.003002,2.003e-05,0.0
33000000000,33300000000,3727144341,8,0.009384,0.002914,1.717e-05,0.0
33300000000,33600000000,3727144341,8,0.01007,0.002846,2.098e-05,0.0
33600000000,33900000000,3727144341,8,0.008881,0.002865,1.526e-05,0.0
33900000000,34200000000,3727144341,8,0.009308,0.002762,1.526e-05,0.0
34200000000,34500000000,3727144341,8,0.01045,0.00285,2.289e-05,0.0
34500000000,34800000000,3727144341,8,0.01073,0.002796,1.621e-05,0.0
34800000000,35100000000,3727144341,8,0.009888,0.0028420000000000003,1.717e-05,0.0
35100000000,35400000000,3727144341,8,0.01035,0.002869,2.003e-05,0.0
35400000000,35700000000,3727144341,8,0.009842,0.0027890000000000002,2.575e-05,0.0
35700000000,36000000000,3727144341,8,0.0116,0.002853,2.003e-05,0.0
36000000000,36300000000,3727144341,8,0.009337999999999999,0.002777,1.431e-05,0.0
36300000000,36600000000,3727144341,8,0.008545,0.0027429999999999998,1.907e-05,0.0
36600000000,36900000000,3727144341,8,0.01089,0.002769,2.193e-05,0.0
36900000000,37200000000,3727144341,8,0.00975,0.002815,2.003e-05,0.0
37200000000,37500000000,3727144341,8,0.011890000000000001,0.002769,1.717e-05,0.0
37500000000,37800000000,3727144341,8,0.01112,0.002811,1.621e-05,0.0
37800000000,38100000000,3727144341,8,0.012969999999999999,0.002846,2.003e-05,0.0
38100000000,38400000000,3727144341,8,0.014430000000000002,0.002857,1.717e-05,0.0
38400000000,38700000000,3727144341,8,0.015380000000000001,0.0029530000000000003,1.335e-05,0.0
38700000000,39000000000,3727144341,8,0.01314,0.00275,3.242e-05,0.0
39000000000,39300000000,3727144341,8,0.0166,0.002895,1.049e-05,0.0
39300000000,39600000000,3727144341,8,0.01605,0.002995,1.335e-05,0.0
39600000000,39900000000,3727144341,8,0.013580000000000002,0.002823,1.144e-05,0.0
39900000000,40200000000,3727144341,8,0.01651,0.003048,2.861e-05,0.0
40200000000,40500000000,3727144341,8,0.015380000000000001,0.0030210000000000002,1.621e-05,0.0
40500000000,40800000000,3727144341,8,0.01489,0.00296,1.717e-05,0.0
40800000000,41100000000,3727144341,8,0.01353,0.002995,2.766e-05,0.0
41100000000,41400000000,3727144341,8,0.01935,0.003075,2.003e-05,0.0
41400000000,41700000000,3727144341,8,0.01895,0.00322,1.24e-05,0.0
41700000000,42000000000,3727144341,8,0.01721,0.003048,1.049e-05,0.0
42000000000,42300000000,3727144341,8,0.01761,0.0030210000000000002,1.717e-05,0.0
42300000000,42600000000,3727144341,8,0.018430000000000002,0.00301,1.907e-05,0.0
42600000000,42900000000,3727144341,8,0.0206,0.003151,1.335e-05,0.0
42900000000,43200000000,3727144341,8,0.01941,0.003036,1.717e-05,0.0
43200000000,43500000000,3727144341,8,0.02005,0.0030210000000000002,8.582999999999999e-06,0.0
43500000000,43800000000,3727144341,8,0.0235,0.0032229999999999997,2.289e-05,0.0
43800000000,44100000000,3727144341,8,0.02222,0.003235,1.621e-05,0.0
44100000000,44400000000,3727144341,8,0.02847,0.003307,1.621e-05,0.0
44400000000,44700000000,3727144341,8,0.02682,0.0033450000000000003,1.907e-05,0.0
44700000000,45000000000,3727144341,8,0.02975,0.0033299999999999996,1.335e-05,0.0
45000000000,45300000000,3727144341,8,0.03143,0.003445,1.526e-05,0.0
45300000000,45600000000,3727144341,8,0.03107,0.0034560000000000003,1.335e-05,0.0
45600000000,45900000000,3727144341,8,0.03241,0.0033909999999999995,1.907e-05,0.0
45900000000,46200000000,3727144341,8,0.03073,0.0032920000000000002,2.003e-05,0.0
46200000000,46500000000,3727144341,8,0.034910000000000004,0.0032229999999999997,1.335e-05,0.0
46500000000,46800000000,3727144341,8,0.03461,0.003204,2.289e-05,0.0
46800000000,47100000000,3727144341,8,0.03986,0.0033,1.717e-05,0.0
47100000000,47400000000,3727144341,8,0.03772,0.0033380000000000003,2.098e-05,0.0
47400000000,47700000000,3727144341,8,0.04181,0.003357,1.717e-05,0.0
47700000000,48000000000,3727144341,8,0.04193,0.0033420000000000004,1.431e-05,0.0
48000000000,48300000000,3727144341,8,0.04761,0.0034479999999999997,1.526e-05,0.0
48300000000,48600000000,3727144341,8,0.04785,0.0035210000000000003,2.003e-05,0.0
48600000000,48900000000,3727144341,8,0.04834,0.003517,3.338e-05,0.0
48900000000,49200000000,3727144341,8,0.049010000000000005,0.003479,2.193e-05,0.0
49200000000,49500000000,3727144341,8,0.0531,0.0035060000000000004,1.621e-05,0.0
49500000000,49800000000,3727144341,8,0.053279999999999994,0.003471,1.24e-05,0.0
49800000000,50100000000,3727144341,8,0.0567,0.003517,2.575e-05,0.0
50100000000,50400000000,3727144341,8,0.05267,0.003471,2.384e-05,0.0
50400000000,50700000000,3727144341,8,0.06018,0.0035020000000000003,8.582999999999999e-06,0.0
50700000000,51000000000,3727144341,8,0.05774,0.003525,1.907e-05,0.0
51000000000,51300000000,3727144341,8,0.05682,0.003517,2.575e-05,0.0
51300000000,51600000000,3727144341,8,0.060360000000000004,0.0035740000000000004,1.526e-05,0.0
51600000000,51900000000,3727144341,8,0.06946000000000001,0.003757,3.91e-05,0.0
51900000000,52200000000,3727144341,8,0.06946000000000001,0.003929,6.676e-06,0.0
52200000000,52500000000,3727144341,8,0.0697,0.003872,1.335e-05,0.0
52500000000,52800000000,3727144341,8,0.07324,0.003834,2.384e-05,0.0
52800000000,53100000000,3727144341,8,0.07654,0.003922,1.621e-05,0.0
53100000000,53400000000,3727144341,8,0.07507,0.0038759999999999997,1.335e-05,0.0
53400000000,53700000000,3727144341,8,0.07214,0.003834,2.575e-05,0.0
53700000000,54000000000,3727144341,8,0.07312,0.0038299999999999996,1.907e-05,0.0
54000000000,54300000000,3727144341,8,0.078,0.003872,1.717e-05,0.0
54300000000,54600000000,3727144341,8,0.07422000000000001,0.0037990000000000003,2.6700000000000002e-05,0.0
54600000000,54900000000,3727144341,8,0.0752,0.003754,3.529e-05,0.0
54900000000,55200000000,3727144341,8,0.078,0.003815,1.431e-05,0.0
55200000000,55500000000,3727144341,8,0.08447,0.003807,2.6700000000000002e-05,0.0
55500000000,55800000000,3727144341,8,0.08227999999999999,0.003834,1.812e-05,0.0
55800000000,55916000000,3727144341,8,0.08716,0.003944,4.387e-05,0.0
55916000000,56100000000,3727144341,8,0.08191,0.003914,1.621e-05,0.0
56100000000,56400000000,3727144341,8,0.0907,0.003998,2.575e-05,0.0
56400000000,56700000000,3727144341,8,0.08838,0.004036,2.289e-05,0.0
56700000000,57000000000,3727144341,8,0.08801,0.004189,2.098e-05,0.0
57000000000,57107000000,3727144341,8,0.08997000000000001,0.00415,1.24e-05,0.0
57107000000,57228000000,3727144341,8,0.09949,0.004303,3.624e-05,0.0
57228000000,57300000000,3727144341,8,0.08411,0.004372,1.144e-05,0.0
57300000000,57600000000,3727144341,8,0.08118,0.004265,1.717e-05,0.0
57600000000,57768000000,3727144341,8,0.07837000000000001,0.00412,1.144e-05,0.0
57768000000,57900000000,3727144341,8,0.08411,0.004111999999999999,2.956e-05,0.0
57900000000,58200000000,3727144341,8,0.0863,0.004082,1.24e-05,0.0
58200000000,58500000000,3727144341,8,0.08202999999999999,0.004051,7.629e-06,0.0
58500000000,58607000000,3727144341,8,0.07861,0.004105,3.147e-05,0.0
58607000000,58800000000,3727144341,8,0.08484,0.004128,2.766e-05,0.0
58800000000,59100000000,3727144341,8,0.0824,0.004059,2.289e-05,0.0
59100000000,59400000000,3727144341,8,0.08386,0.004065999999999999,1.431e-05,0.0
59400000000,59700000000,3727144341,8,0.08887,0.004036,3.529e-05,0.0
59700000000,60000000000,3727144341,8,0.09021,0.004044,2.193e-05,0.0
60000000000,60300000000,3727144341,8,0.09216,0.004097,1.907e-05,0.0
60300000000,60600000000,3727144341,8,0.0929,0.004013,1.24e-05,0.0
60600000000,60900000000,3727144341,8,0.09631,0.00399,3.624e-05,0.0
60900000000,61200000000,3727144341,8,0.1007,0.003998,2.193e-05,0.0
61200000000,61500000000,3727144341,8,0.1036,0.004501,1.335e-05,0.0
61500000000,61800000000,3727144341,8,0.09277,0.004372,2.766e-05,0.0
61800000000,62100000000,3727144341,8,0.09167,0.00425,2.861e-05,0.0
62100000000,62272000000,3727144341,8,0.09277,0.004211,2.6700000000000002e-05,0.0
62272000000,62400000000,3727144341,8,0.09399,0.004173,2.003e-05,0.0
62400000000,62567000000,3727144341,8,0.09058,0.0041659999999999996,1.526e-05,0.0
62567000000,62700000000,3727144341,8,0.09473,0.004143,5.054e-05,0.0
62700000000,63000000000,3727144341,8,0.08862,0.004065999999999999,2.289e-05,0.0
63000000000,63300000000,3727144341,8,0.09265,0.004059,3.242e-05,0.0
63300000000,63600000000,3727144341,8,0.09937,0.00412,2.861e-05,0.0
63600000000,63900000000,3727144341,8,0.1005,0.0043950000000000005,1.717e-05,0.0
63900000000,64200000000,3727144341,8,0.1088,0.0043950000000000005,3.433e-05,0.0
64200000000,64500000000,3727144341,8,0.1023,0.0043560000000000005,1.717e-05,0.0
64500000000,64800000000,3727144341,8,0.09777999999999999,0.004181,1.812e-05,0.0
64800000000,65100000000,3727144341,8,0.09827000000000001,0.004204,2.384e-05,0.0
65100000000,65400000000,3727144341,8,0.1014,0.004227000000000001,1.907e-05,0.0
65400000000,65700000000,3727144341,8,0.1008,0.004272,1.431e-05,0.0
65700000000,66000000000,3727144341,8,0.09863,0.004196,1.431e-05,0.0
66000000000,66300000000,3727144341,8,0.1018,0.004234,1.812e-05,0.0
66300000000,66600000000,3727144341,8,0.1007,0.004189,2.193e-05,0.0
66600000000,66776000000,3727144341,8,0.09924,0.00412,2.003e-05,0.0
66776000000,66900000000,3727144341,8,0.09863,0.00425,2.289e-05,0.0
66900000000,67069000000,3727144341,8,0.09851,0.004181,2.575e-05,0.0
67069000000,67200000000,3727144341,8,0.09644,0.004128,2.766e-05,0.0
67200000000,67500000000,3727144341,8,0.09668,0.004097,2.003e-05,0.0
67500000000,67800000000,3727144341,8,0.09875,0.004128,1.717e-05,0.0
67800000000,68100000000,3727144341,8,0.09583,0.004158,3.719e-05,0.0
68100000000,68400000000,3727144341,8,0.09717,0.004219,1.717e-05,0.0
68400000000,68700000000,3727144341,8,0.09607,0.004204,2.6700000000000002e-05,0.0
68700000000,69000000000,3727144341,8,0.09851,0.004333,1.049e-05,0.0
69000000000,69300000000,3727144341,8,0.1003,0.004288,1.526e-05,0.0
69300000000,69600000000,3727144341,8,0.09644,0.004234,2.956e-05,0.0
69600000000,69900000000,3727144341,8,0.09777999999999999,0.004227000000000001,1.717e-05,0.0
69900000000,70200000000,3727144341,8,0.1062,0.004509,3.242e-05,0.0
70200000000,70500000000,3727144341,8,0.1044,0.004364,2.003e-05,0.0
70500000000,70800000000,3727144341,8,0.1012,0.004257,2.766e-05,0.0
70800000000,71100000000,3727144341,8,0.09521,0.004196,1.621e-05,0.0
71100000000,71400000000,3727144341,8,0.1021,0.004234,6.294e-05,0.0
71400000000,71700000000,3727144341,8,0.09998,0.004189,5.341e-05,0.0
71700000000,72000000000,3727144341,8,0.1018,0.004204,5.054e-05,0.0
72000000000,72300000000,3727144341,8,0.09485,0.004135,4.196e-05,0.0
72300000000,72600000000,3727144341,8,0.09692,0.00412,3.91e-05,0.0
72600000000,72900000000,3727144341,8,0.09827000000000001,0.004135,5.341e-05,0.0
72900000000,73200000000,3727144341,8,0.09937,0.004135,7.629e-05,0.0
73200000000,73500000000,3727144341,8,0.09863,0.004509,7.439e-05,0.0
73500000000,73797000000,3727144341,8,0.1013,0.004494,6.294e-05,0.0
73797000000,73800000000,3727144341,8,0.1198,0.004379,0.000452,0.0
73800000000,74100000000,3727144341,8,0.1011,0.004333,4.482e-05,0.0
74100000000,74400000000,3727144341,8,0.1158,0.004340999999999999,9.155e-05,0.0
74400000000,74700000000,3727144341,8,0.1097,0.004288,5.15e-05,0.0
74700000000,75000000000,3727144341,8,0.1146,0.004311,4.387e-05,0.0
75000000000,75300000000,3727144341,8,0.1119,0.004295,2.48e-05,0.0
75300000000,75600000000,3727144341,8,0.121,0.004311,4.673e-05,0.0
75600000000,75900000000,3727144341,8,0.1189,0.004234,3.624e-05,0.0
75900000000,76200000000,3727144341,8,0.1134,0.004318,4.387e-05,0.0
76200000000,76500000000,3727144341,8,0.1143,0.004257,2.575e-05,0.0
76500000000,76800000000,3727144341,8,0.1083,0.004234,1.621e-05,0.0
76800000000,77100000000,3727144341,8,0.1079,0.004242,1.526e-05,0.0
77100000000,77400000000,3727144341,8,0.1195,0.004364,2.003e-05,0.0
77400000000,77700000000,3727144341,8,0.1185,0.00441,2.193e-05,0.0
77700000000,78000000000,3727144341,8,0.1136,0.004364,2.193e-05,0.0
78000000000,78300000000,3727144341,8,0.1115,0.004364,2.003e-05,0.0
78300000000,78600000000,3727144341,8,0.1127,0.0043490000000000004,4.101e-05,0.0
78600000000,78900000000,3727144341,8,0.1078,0.004227000000000001,2.193e-05,0.0
78900000000,79200000000,3727144341,8,0.1005,0.004158,2.289e-05,0.0
79200000000,79500000000,3727144341,8,0.09314,0.004204,2.575e-05,0.0
79500000000,79800000000,3727144341,8,0.08447,0.0043560000000000005,1.812e-05,0.0
79800000000,80100000000,3727144341,8,0.099,0.004257,1.907e-05,0.0
80100000000,80400000000,3727144341,8,0.1053,0.004219,2.098e-05,0.0
80400000000,80700000000,3727144341,8,0.1078,0.004494,2.956e-05,0.0
80700000000,81000000000,3727144341,8,0.1064,0.004555,2.003e-05,0.0
81000000000,81300000000,3727144341,8,0.1107,0.004417,9.537e-06,0.0
81300000000,81600000000,3727144341,8,0.1064,0.004311,1.717e-05,0.0
81600000000,81900000000,3727144341,8,0.1027,0.004303,1.335e-05,0.0
81900000000,82200000000,3727144341,8,0.1046,0.004219,2.384e-05,0.0
82200000000,82500000000,3727144341,8,0.1077,0.004242,2.384e-05,0.0
82500000000,82800000000,3727144341,8,0.1119,0.004448,2.48e-05,0.0
82800000000,83100000000,3727144341,8,0.1158,0.004539,1.24e-05,0.0
83100000000,83400000000,3727144341,8,0.1016,0.004593,9.537e-06,0.0
83400000000,83700000000,3727144341,8,0.09509,0.0044020000000000005,2.193e-05,0.0
83700000000,84000000000,3727144341,8,0.09119,0.004288,2.098e-05,0.0
84000000000,84300000000,3727144341,8,0.09875,0.004333,1.526e-05,0.0
84300000000,84600000000,3727144341,8,0.1018,0.004593,3.242e-05,0.0
84600000000,84900000000,3727144341,8,0.09875,0.004372,2.003e-05,0.0
84900000000,85200000000,3727144341,8,0.1011,0.004333,2.575e-05,0.0
85200000000,85500000000,3727144341,8,0.09485,0.004295,2.384e-05,0.0
85500000000,85800000000,3727144341,8,0.08838,0.004242,2.098e-05,0.0
85800000000,86100000000,3727144341,8,0.09265,0.004227000000000001,2.48e-05,0.0
86100000000,86400000000,3727144341,8,0.1006,0.00428,2.575e-05,0.0
86400000000,86700000000,3727144341,8,0.08423,0.004143,2.098e-05,0.0
86700000000,86812000000,3727144341,8,0.08545,0.004089,4.101e-05,0.0
86812000000,86873000000,3727144341,8,0.09436,0.0041659999999999996,1.907e-06,0.0
86873000000,86891000000,3727144341,8,0.08252000000000001,0.00412,3.147e-05,0.0
86891000000,86910000000,3727144341,8,0.07837000000000001,0.004111999999999999,0.0,0.0
86910000000,86965000000,3727144341,8,0.0824,0.004128,1.431e-05,0.0
86965000000,87000000000,3727144341,8,0.08459,0.00412,8.583e-05,0.0
87000000000,87300000000,3727144341,8,0.08057,0.004143,2.575e-05,0.0
87300000000,87600000000,3727144341,8,0.08313,0.004111999999999999,9.537e-06,0.0
87600000000,87900000000,3727144341,8,0.09937,0.004386999999999999,4.005e-05,0.0
87900000000,87937000000,3727144341,8,0.08081,0.004204,3.815e-06,0.0
87937000000,88200000000,3727144341,8,0.09314,0.004311,2.861e-05,0.0
88200000000,88500000000,3727144341,8,0.08093,0.004204,8.582999999999999e-06,0.0
88500000000,88800000000,3727144341,8,0.08325,0.0041659999999999996,2.289e-05,0.0
88800000000,89100000000,3727144341,8,0.08202999999999999,0.004173,2.766e-05,0.0
89100000000,89214000000,3727144341,8,0.07556,0.004111999999999999,1.335e-05,0.0
89214000000,89333000000,3727144341,8,0.07983,0.004111999999999999,4.101e-05,0.0
89333000000,89400000000,3727144341,8,0.07617,0.00428,2.48e-05,0.0
89400000000,89700000000,3727144341,8,0.07983,0.004333,1.24e-05,0.0
89700000000,90000000000,3727144341,8,0.08081,0.00428,2.861e-05,0.0
90000000000,90300000000,3727144341,8,0.08301,0.004303,1.717e-05,0.0
90300000000,90600000000,3727144341,8,0.09802000000000001,0.004333,3.052e-05,0.0
90600000000,90900000000,3727144341,8,0.07959,0.004173,1.335e-05,0.0
90900000000,91200000000,3727144341,8,0.08093,0.004111999999999999,2.48e-05,0.0
91200000000,91313000000,3727144341,8,0.08276,0.004105,2.956e-05,0.0
91313000000,91500000000,3727144341,8,0.08655,0.004181,1.335e-05,0.0
91500000000,91800000000,3727144341,8,0.08032,0.004196,2.575e-05,0.0
91800000000,92100000000,3727144341,8,0.07666,0.004128,6.676e-06,0.0
92100000000,92130000000,3727144341,8,0.07886,0.004065999999999999,4.578e-05,0.0
92130000000,92269000000,3727144341,8,0.08179,0.00428,1.335e-05,0.0
92269000000,92400000000,3727144341,8,0.08057,0.004204,1.24e-05,0.0
