ST,mean cpu usage,canonical memory usage
1,0.0713333333333333,0.5854166666666667
2,0.05928307692307686,0.18333333333333332
3,0.07183999999999999,0.18416666666666667
4,0.06108428571428571,0.19833333333333333
5,0.0763042857142857,0.1975
6,0.076788,0.21083333333333334
7,0.06977733333333333,0.21
8,0.076735,0.22083333333333333
9,0.07097999999999997,0.22083333333333333
10,0.05634941176470585,0.23333333333333334
11,0.06319529411764703,0.23416666666666666
12,0.0552411111111111,0.2475
13,0.05902999999999997,0.25083333333333335
14,0.06462210526315787,0.26
15,0.05937684210526311,0.26166666666666666
16,0.05553399999999995,0.2733333333333333
17,0.054508999999999995,0.2733333333333333
18,0.05022285714285714,0.2866666666666667
19,0.060446666666666655,0.2866666666666667
20,0.054669999999999976,0.3
21,0.07141818181818183,0.3
22,0.06182347826086954,0.31666666666666665
23,0.05147043478260868,0.31666666666666665
24,0.05141916666666662,0.32666666666666666
25,0.05767333333333329,0.32666666666666666
26,0.0677416,0.34
27,0.05857919999999997,0.3433333333333333
28,0.05827999999999996,0.3566666666666667
29,0.052812307692307645,0.355
30,0.05004814814814812,0.36666666666666664
31,0.05545999999999996,0.37
32,0.061247142857142854,0.385
33,0.05955857142857143,0.37833333333333335
34,0.04890275862068966,0.39416666666666667
35,0.05178758620689655,0.3958333333333333
36,0.047304,0.4091666666666667
37,0.05244333333333329,0.4116666666666667
38,0.05433466666666666,0.4116666666666667
39,0.053759333333333284,0.4091666666666667
40,0.05349666666666666,0.4116666666666667
41,0.05543333333333332,0.4091666666666667
42,0.06162799999999999,0.4116666666666667
43,0.05325533333333334,0.4116666666666667
44,0.05850733333333333,0.4116666666666667
45,0.05296266666666662,0.4058333333333333
46,0.06139133333333333,0.4075
47,0.053865333333333335,0.4075
48,0.056099999999999955,0.4058333333333333
49,0.059194,0.4033333333333333
50,0.055951999999999995,0.4033333333333333
51,0.0704246666666666,0.40166666666666667
52,0.06335399999999998,0.40166666666666667
53,0.06540866666666663,0.4075
54,0.06314933333333327,0.4008333333333333
55,0.054834,0.4033333333333333
56,0.05697999999999997,0.4075
57,0.058328666666666674,0.405
58,0.046777999999999965,0.4075
59,0.04949133333333333,0.4033333333333333
60,0.057735999999999926,0.4075
61,0.06440066666666666,0.4033333333333333
62,0.05355666666666666,0.405
63,0.07221466666666665,0.4033333333333333
64,0.055295333333333314,0.4058333333333333
65,0.053325999999999964,0.4041666666666667
66,0.052109999999999955,0.39916666666666667
67,0.05264799999999995,0.39916666666666667
68,0.05165266666666659,0.40166666666666667
69,0.05466933333333332,0.4075
70,0.05282066666666666,0.40166666666666667
71,0.05766666666666665,0.3975
72,0.04637399999999995,0.405
73,0.0457273333333333,0.4033333333333333
74,0.057588666666666656,0.4058333333333333
75,0.05075333333333329,0.4033333333333333
76,0.058032,0.4033333333333333
77,0.04609733333333333,0.4041666666666667
78,0.04610533333333333,0.40166666666666667
79,0.045083999999999985,0.40166666666666667
80,0.04249999999999997,0.4033333333333333
81,0.047685333333333274,0.40166666666666667
82,0.05175999999999998,0.40166666666666667
83,0.06098799999999996,0.4033333333333333
84,0.06224533333333333,0.4033333333333333
85,0.051481999999999944,0.4033333333333333
86,0.05016666666666665,0.4033333333333333
87,0.05115199999999995,0.4075
88,0.05320266666666663,0.4033333333333333
89,0.044679333333333286,0.40166666666666667
90,0.051895999999999984,0.3975
91,0.045621999999999954,0.39916666666666667
92,0.056897333333333314,0.39916666666666667
93,0.04709666666666665,0.4033333333333333
94,0.05204799999999996,0.4033333333333333
95,0.05768399999999998,0.4033333333333333
96,0.07539066666666666,0.4075
97,0.04719066666666661,0.4075
98,0.042216666666666666,0.4008333333333333
99,0.04352333333333319,0.39916666666666667
100,0.049078000000000004,0.4033333333333333
101,0.04693066666666663,0.405
102,0.046058666666666664,0.4033333333333333
103,0.06007666666666663,0.4033333333333333
104,0.06067666666666667,0.4033333333333333
105,0.06954666666666667,0.4075
106,0.050139333333333334,0.4075
107,0.05452533333333333,0.40166666666666667
108,0.05610266666666666,0.4033333333333333
109,0.08847933333333328,0.40166666666666667
110,0.06945933333333329,0.4
111,0.05497933333333331,0.4033333333333333
112,0.052833333333333336,0.4
113,0.053014666666666654,0.4041666666666667
114,0.057984,0.4058333333333333
115,0.05791266666666665,0.4008333333333333
116,0.06379933333333329,0.4008333333333333
117,0.051039999999999926,0.4
118,0.053769333333333315,0.40166666666666667
119,0.06854733333333328,0.4025
120,0.0549586666666666,0.4008333333333333
121,0.06229333333333331,0.4058333333333333
122,0.05257599999999996,0.4058333333333333
123,0.081012,0.4075
124,0.08180466666666662,0.4058333333333333
125,0.05454333333333329,0.4041666666666667
126,0.05221,0.40166666666666667
127,0.04895599999999997,0.4058333333333333
128,0.06782466666666666,0.4058333333333333
129,0.06801866666666667,0.4058333333333333
130,0.059314000000000006,0.4091666666666667
131,0.06282533333333333,0.405
132,0.05599666666666665,0.40166666666666667
133,0.04925133333333333,0.4041666666666667
134,0.04885333333333333,0.4058333333333333
135,0.053433999999999995,0.4041666666666667
136,0.046797999999999965,0.4075
137,0.05588266666666666,0.4058333333333333
138,0.059279999999999985,0.4058333333333333
139,0.059931999999999985,0.4091666666666667
140,0.06607266666666664,0.41
141,0.056263333333333304,0.4075
142,0.051372666666666615,0.4091666666666667
143,0.058242,0.4033333333333333
144,0.05074266666666663,0.4075
145,0.05432933333333333,0.4075
146,0.06166733333333329,0.4091666666666667
147,0.07002933333333332,0.4091666666666667
148,0.06316133333333332,0.4116666666666667
149,0.059207333333333306,0.4091666666666667
150,0.06001466666666663,0.405
151,0.05912399999999999,0.4033333333333333
152,0.055536,0.40166666666666667
153,0.06016066666666667,0.40166666666666667
154,0.058413999999999924,0.40166666666666667
155,0.049266,0.40166666666666667
156,0.04995866666666663,0.4033333333333333
157,0.05951666666666667,0.3975
158,0.06613266666666666,0.40166666666666667
159,0.06176466666666665,0.40166666666666667
160,0.05130133333333331,0.4041666666666667
161,0.058967333333333316,0.40166666666666667
162,0.052847999999999944,0.40166666666666667
163,0.05927066666666667,0.4033333333333333
164,0.07406533333333325,0.4083333333333333
165,0.0705013333333333,0.4075
166,0.05783999999999995,0.4033333333333333
167,0.052129999999999996,0.405
168,0.05595933333333332,0.4025
169,0.05747466666666663,0.4008333333333333
170,0.05898133333333332,0.4033333333333333
171,0.058578000000000005,0.4025
172,0.05674333333333331,0.4008333333333333
173,0.05483066666666665,0.4075
174,0.053044666666666636,0.4075
175,0.07317533333333333,0.4075
176,0.06821333333333333,0.4091666666666667
177,0.08463599999999996,0.4091666666666667
178,0.07486466666666666,0.4075
179,0.09281,0.4075
180,0.08661533333333334,0.4091666666666667
181,0.0690826666666666,0.4091666666666667
182,0.0644713333333333,0.4091666666666667
183,0.07880066666666666,0.4033333333333333
184,0.058814666666666675,0.4033333333333333
185,0.06519133333333332,0.39916666666666667
186,0.058317333333333304,0.39916666666666667
187,0.05566733333333332,0.4033333333333333
188,0.06016599999999997,0.405
189,0.06192466666666663,0.405
190,0.06216066666666667,0.405
191,0.06961666666666663,0.4091666666666667
192,0.07101999999999996,0.4091666666666667
193,0.08484266666666666,0.4075
194,0.06650133333333326,0.4075
195,0.06298199999999994,0.4075
196,0.06947333333333332,0.4075
197,0.06347466666666667,0.4075
198,0.06164133333333329,0.4075
199,0.08108533333333333,0.4075
200,0.0640846666666666,0.4091666666666667
201,0.0691873333333333,0.4075
202,0.06590866666666667,0.4075
203,0.060344666666666665,0.4075
204,0.07337933333333332,0.4058333333333333
205,0.06610533333333331,0.4075
206,0.06452599999999996,0.4058333333333333
207,0.06762266666666664,0.4075
208,0.059165999999999996,0.4075
209,0.06191733333333334,0.4075
210,0.07406666666666664,0.4075
211,0.0730133333333333,0.4075
212,0.0959453333333333,0.4075
213,0.09275599999999999,0.4075
214,0.07037799999999998,0.4091666666666667
215,0.06594799999999996,0.405
216,0.062399333333333334,0.4091666666666667
217,0.06958533333333332,0.4066666666666667
218,0.06450333333333329,0.4116666666666667
219,0.07415333333333328,0.4091666666666667
220,0.06877999999999997,0.4091666666666667
221,0.06349799999999996,0.4091666666666667
222,0.07231399999999996,0.4116666666666667
223,0.07257333333333334,0.4091666666666667
224,0.07962933333333327,0.4091666666666667
225,0.07452199999999999,0.4091666666666667
226,0.06987666666666667,0.4075
227,0.06818266666666667,0.4075
228,0.07453466666666664,0.4075
229,0.06362866666666665,0.4075
230,0.07907399999999996,0.4075
231,0.0734973333333333,0.41
232,0.07686733333333329,0.4075
233,0.06239599999999991,0.4075
234,0.06319999999999996,0.4075
235,0.07220933333333333,0.4075
236,0.08753999999999992,0.4075
